title,venue,year,authors,doi,Label,id
Model Revision of Logical Regulatory Networks Using Logic-Based Tools.,iclp,2018,Svetlana Bulashevska,10.4018/9781605666853.ch005,4,576
A Tool Set for Converting Controlled Natural Languages into AI Formalisms.,iclp,2025,,10.7551/mitpress/2123.003.0002,5,334
Logical Lease Litigation: Prolog and LLMs for Rental Law Compliance in New York.,iclp,2024,"Sanskar Sehgal, Yanhong A. Liu",10.4204/eptcs.416.4,3,454
A Three-Valued Semantics for Typed Logic Programming.,iclp,2019,"João Barbosa, Mário Florido, Vítor Santos Costa",10.4204/eptcs.306.10,5,500
Beyond Traditional Neural Networks: Toward adding Reasoning and Learning Capabilities through Computational Logic Techniques.,iclp,2023,Andrea Rafanelli,10.4204/eptcs.385.51,5,139
Less Manual Work for Safety Engineers: Towards an Automated Safety Reasoning with Safety Patterns.,iclp,2020,"Yuri Gil Dantas, Antoaneta Kondeva, Vivek Nigam",10.4204/eptcs.325.29,1,578
Efficient Compliance Computation in Probabilistic Declarative Specifications.,iclp,2024,"Jeongwoon Choi, Jungyeon Kim, Seokho Chi",10.2139/ssrn.6381878,3,273
Unique Characterisability and Learnability of Temporal Queries Mediated by an Ontology.,kr,2024,"Jean Christoph Jung, Vladislav Ryzhikov, Frank Wolter, Michael Zakharyaschev",10.24963/kr.2024/46,4,549
Operator-Based Semantics for Choice Programs: Is Choosing Losing?,kr,2024,Jesse Heyninck,10.24963/kr.2024/42,3,37
Scalable Robotic Intra-Logistics with Answer Set Programming.,iclp,2018,,10.1017/cbo9781139342124.007,2,391
Semantic Analysis of Assurance Cases using s(CASP).,iclp,2023,Alistair Duke,10.4018/978-1-60566-066-0.ch003,3,99
Computational Thinking with Logic Programming.,iclp,2024,,10.1017/cbo9780511984747.027,4,25
Complexity of Abduction in Łukasiewicz Logic.,kr,2025,"Katsumi Inoue, Daniil Kozhemiachenko",10.24963/kr.2025/41,2,138
"Leasing the Cloud-Edge Continuum, à la Carte.",iclp,2023,"Stefano Forti, Ahmad Ibrahim, Antonio Brogi",10.4204/eptcs.385.28,1,155
A Logic-Based Framework for Database Repairs.,kr,2025,"Nicolas Fröhlich, Arne Meier, Nina Pardal, Jonni Virtema",10.24963/kr.2025/32,3,183
Memory Management in Resource-Bounded Agents.,iclp,2019,Valentina Pitoni,10.4204/eptcs.306.61,1,496
Advances in Logic-Based Entity Resolution: Enhancing ASPEN with Local Merges and Optimality Criteria.,kr,2025,"Zhiliang Xiang, Meghyn Bienvenu, Gianluca Cima, Víctor Gutiérrez-Basulto, Yazmín Ibáñez-García",10.24963/kr.2025/64,5,201
Modeling Administrative Discretion using Goal-Directed Answer Set Programming.,iclp,2022,"Joaquín Arias, Mar Moreno-Rebato, Jose A. Rodriguez-García, Sascha Ossowski",10.1007/978-3-030-85713-4_25,5,450
An ASP Multi-Shot Encoding for the Aircraft Routing and Maintenance Planning Problem.,iclp,2020,"Pierre Tassel, Mohamed Rbaia",10.4204/eptcs.364.22,3,286
From Acceptance to Rejection in Abstract Argumentation.,kr,2024,"Anne-Marie Heine, Markus Ulbricht",10.24963/kr.2024/41,5,199
The ASP-based Nurse Scheduling System at the University of Yamanashi Hospital.,iclp,2025,"Hidetomo Nabeshima, Mutsunori Banbara, Torsten Schaub, Takehide Soh",10.4204/eptcs.439.23,3,254
Controlled Natural Languages for Knowledge Representation and Reasoning.,iclp,2016,"Len Schubert, Moderator",10.1016/b978-1-4832-1452-8.50157-3,5,223
Towards Static Performance Guarantees for Programs with Run-Time Checks.,iclp,2018,"Maximiliano Klemen, Nataliia Stulova, Pedro López-García, José Morales, Manuel V. Hermenegildo",10.1145/3236950.3236970,1,64
Theory Solving Made Easy with Clingo 5.,iclp,2016,KIM McCARRON,10.1097/00152258-200701000-00006,5,383
Explaining Agent Behaviour via Causal Analysis of Mental States.,kr,2023,,10.5040/9781501331169.0007,2,573
Constraint Programming Algorithms for Route Planning Exploiting Geometrical Information.,iclp,2020,Alessandro Bertagnon,10.4204/eptcs.325.38,3,272
Search-Guided Generation of Properties for Program Analyzers.,iclp,2025,Yixuan Liang,10.54985/peeref.2601a8981167,4,249
Blawx: Web-based User-Friendly Rules as Code.,iclp,2022,"Mehmet Bektasoglu, Abdullah S. Bayraktar",10.1016/j.radphyschem.2026.113646,1,358
KALM: A Rule-based Approach for Knowledge Authoring and Question Answering.,iclp,2019,Tiantian Gao,10.4204/eptcs.306.52,5,82
On Strong and Weak Admissibility in Non-Flat Assumption-Based Argumentation.,kr,2025,"Matti Berthold, Lydia Blümel, Anna Rapberger",10.24963/kr.2025/14,1,178
ABA Learning via ASP.,iclp,2023,"Emanuele De Angelis, Maurizio Proietti, Francesca Toni",10.4204/eptcs.385.1,1,130
"A Gaze into the Internal Logic of Graph Neural Networks, with Logic.",iclp,2022,Paul Tarau,10.4204/eptcs.364.9,3,236
A Model-Oriented Approach for Lifting Symmetries in Answer Set Programming.,iclp,2022,Alice Tarzariol,10.4204/eptcs.364.35,4,415
Assessing Drivers&apos; Situation Awareness in Semi-Autonomous Vehicles: ASP based Characterisations of Driving Dynamics for Modelling Scene Interpretation and Projection.,iclp,2023,"Jakob Suchan, Jan-Patrick Osterloh",10.4204/eptcs.385.29,2,511
Modelling Infectious Disease Dynamics with Probabilistic Logic Programming.,iclp,2021,Fabrizio Riguzzi,10.1201/9781003338192-2,2,12
Knowledge Base Embeddings: Semantics and Theoretical Properties.,kr,2024,"Camille Bourgaux, Ricardo Guimarães, Raoul Koudijs, Victor Lacerda, Ana Ozaki",10.24963/kr.2024/77,5,525
Complexity of Weighted First-Order Model Counting in the Two-Variable Fragment with Counting Quantifiers: A Bound to Beat.,kr,2024,"Jan Tóth, Ondřej Kuželka",10.24963/kr.2024/64,2,372
Top-down Splitting Property for Epistemic Logic Programs.,iclp,2021,"Pedro Cabalar, Jorge Fandinno, Luis Fariñas del Cerro",10.24963/ijcai.2020/653,2,344
Most General Variant Unifiers.,iclp,2019,"Santiago Escobar, Julia Sapiña",10.4204/eptcs.306.21,1,106
Extending Description Logics with Generic Concepts - the Tale of Two Semantics.,kr,2024,"Joshua Hirschbrunn, Yevgeny Kazakov",10.24963/kr.2024/43,4,108
An Information-Flow Perspective on Explainability Requirements: Specification and Verification.,kr,2025,"Bernd Finkbeiner, Hadar Frenkel, Julian Siber",10.24963/kr.2025/29,5,487
"Proceedings of the International Conference on Logic Programming 2022 Workshops co-located with the 38th International Conference on Logic Programming (ICLP 2022), Haifa, Israel, July 31st - August 1st, 2022.",iclp,2022,"YULIYA LIERLER, JOSE F. MORALES",10.1017/s147106842200028x,1,536
A Framework for Inconsistency-tolerant Reasoning with Sets of Models.,kr,2025,"Yehia Hatab, Kai Sauerwald, Matthias Thimm",10.24963/kr.2025/37,2,177
Towards Run-time Checks Simplification via Term Hiding.,iclp,2017,,10.1007/978-1-84882-314-3_10,3,131
Modeling Clique Coloring via ASP(Q).,iclp,2021,Hoifung Poon,10.33915/etd.1008,2,394
Research Summary: Explainable Artificial Intelligence in Answer Set Programming and Machine Learning.,iclp,2025,Vladimir Lifschitz,10.1016/s0004-3702(02)00186-8,5,87
"Front Matter, Table of Contents, Preface, List of Authors.",iclp,2016,,10.1484/m.hmantica-eb.5.152373,1,339
Interpretable Hybrid Machine Learning Models Using FOLD-R++ and Answer Set Programming.,iclp,2025,"Sanne Wielinga, Jesse Heyninck",10.4204/eptcs.439.9,5,567
Distance-Restricted Explanations: Theoretical Underpinnings &amp; Efficient Implementation.,kr,2024,"Yacine Izza, Xuanxiang Huang, Antonio Morgado, Jordi Planes, Alexey Ignatiev, Joao Marques-Silva",10.24963/kr.2024/45,5,161
A System for Explainable Answer Set Programming.,iclp,2020,"Pedro Cabalar, Jorge Fandinno, Brais Muñiz",10.4204/eptcs.325.19,5,324
Modelling Human Mental-States in an Action Language following the Theory of Planned Behavior.,iclp,2021,"Rory C. O’Connor, Christopher J. Armitage",10.4324/9781315126449-2,1,347
Grounding Rule-Based Argumentation Using Datalog.,kr,2025,"Martin Diller, Sarah Alice Gaggl, Philipp Hanisch, Giuseppina Monterosso, Fritz Rauschenbach",10.24963/kr.2025/28,5,475
On the Complexity and Properties of Preferential Propositional Dependence Logic.,kr,2025,"Kai Sauerwald, Arne Meier, Juha Kontinen",10.24963/kr.2025/51,2,425
Generating Concurrent Programs From Sequential Data Structure Knowledge Using Answer Set Programming.,iclp,2021,"Sarat Chandra Varanasi, Neeraj Mittal, Gopal Gupta",10.4204/eptcs.345.36,4,251
Automated Theorem Proving for Prolog Verification.,iclp,2025,"Fred Mesnard, Thierry Marianne, Etienne Payet",10.29007/c25r,3,436
Actual Causality in Contextual Abduction.,iclp,2020,"Degoldie Sonny, Ari Saptawijaya, Raja Oktovin Parhasian Damanik",10.1109/icacsis51025.2020.9263160,2,11
Understanding ProbLog as Probabilistic Argumentation.,iclp,2023,"Francesca Toni, Nico Potyka, Markus Ulbricht, Pietro Totis",10.4204/eptcs.385.18,4,377
Faithful Differentiable Reasoning with Reshuffled Region-based Embeddings.,kr,2025,"Aleksandar Pavlovic, Emanuel Sallinger, Steven Schockaert",10.24963/kr.2025/48,1,47
Action Language mA* with Higher-Order Action Observability.,kr,2024,"David Buckingham, Matthias Scheutz, Tran Cao Son, Francesco Fabiano",10.24963/kr.2024/20,2,338
Dynamic Epistemic Logic with ASP Updates: Application to Conditional Planning.,iclp,2020,,10.1007/978-1-4020-5839-4_2,3,388
Using Ontology to Analyze Sentiment of Comments on Vietnamese Social Media.,kr,2024,,10.53796/hnsj31027,5,445
Generalizing Level Ranking Constraints for Monotone and Convex Aggregates.,iclp,2023,Tomi Janhunen,10.4204/eptcs.385.12,1,592
A framework for Conditional Reasoning in Answer Set Programming.,iclp,2025,"Mario Alviano, Laura Giordano, Daniele Theseider Dupré",10.4204/eptcs.439.13,4,399
LP2PB: Translating Answer Set Programs into Pseudo-Boolean Theories.,iclp,2020,"Wolf De Wulf, Bart Bogaerts",10.4204/eptcs.325.25,5,331
Enhancing Compilation-based ASP Solving.,iclp,2025,"Carmine Dodaro, Giuseppe Mazzotta, Francesco Ricca",10.24963/kr.2024/30,5,413
Quantified Constraint Handling Rules.,iclp,2019,"Vincent Barichard, Igor Stéphan",10.1145/3728640,2,241
MASP-Reduce: A Proposal for Distributed Computation of Stable Models.,iclp,2018,Marco De Bortoli,10.4204/eptcs.306.60,1,165
Embedding s(CASP) in Prolog.,iclp,2022,Mehul Chandrakant Solanki,10.24124/2016/bpgub1142,3,143
Learning Robust Reward Machines from Noisy Labels.,kr,2024,"Roko Parać, Lorenzo Nodari, Leo Ardon, Daniel Furelos-Blanco, Federico Cerutti, Alessandra Russo",10.24963/kr.2024/85,2,519
Strong Equivalence for LPMLN Programs.,iclp,2019,"Joohyung Lee, Man Luo",10.4204/eptcs.306.24,1,443
A Dataset of Contractual Events in Court Decisions.,iclp,2023,Robert M. Guion,10.1037/e580582009-009,4,65
Modeling and Solving Graph Synthesis Problems Using SAT-Encoded Reachability Constraints in Picat.,iclp,2021,Neng-Fa Zhou,10.4204/eptcs.345.30,1,398
SMT-Based Constraint Answer Set Solver EZSMT (System Description).,iclp,2016,Yuting Zhao,10.14711/thesis-b810483,2,39
A Speech about Generative Datalog and Non-measurable Sets.,iclp,2021,,10.1017/9781009003797.008,2,456
Knowledge Graphs &amp; Reasoning in Concert: Automating Regulation in Corporate Economics.,iclp,2025,,10.1049/pbpc063e_ch3,2,57
Copredication and Ontological Mutability.,kr,2023,Mathias Guenther,10.1007/978-3-030-21186-8_2,2,535
Fitting Ontologies and Constraints to Relational Structures.,kr,2025,"Simon Hosemann, Jean Christoph Jung, Carsten Lutz, Sebastian Rudolph",10.24963/kr.2025/40,5,547
"Translating P-log, LPMLN, LPOD, and CR-Prolog2 into Standard Answer Set Programs.",iclp,2018,"Joohyung Lee, Zhun Yang",10.29007/d8rl,2,44
Property Directed Reachability for Planning Revisited.,kr,2023,"Ava Clifton, Charles Gretton",10.24963/kr.2023/16,2,247
Abstractions of Queries in Ontology-Based Data Access.,kr,2025,"Michel Leclère, Marie-Laure Mugnier, Guillaume Pérution-Kihli",10.24963/kr.2025/43,4,471
Mutex Graphs and Multicliques: Reducing Grounding Size for Planning.,iclp,2019,"David Spies, Jia-Huai You, Ryan Hayward",10.4204/eptcs.306.20,1,276
Grounded Fixpoints and Active Integrity Constraints.,iclp,2016,"Bart Bogaerts, Joost Vennekens, Marc Denecker",10.1609/aaai.v29i1.9388,2,541
Computing H-Partitions in ASP and Datalog.,iclp,2022,"R. S. Bird, O. de Moor",10.1007/bf01211316,3,520
Mathematical Foundations for Joining Only Knowing and Common Knowledge.,kr,2023,"Marcos Cramer, Samuele Pollaci, Bart Bogaerts",10.24963/kr.2023/17,5,503
A Normative Model of Explanation for Binary Classification Legal AI and Its Implementation on Causal Explanations of Answer Set Programming.,iclp,2022,Haodi Zhang,10.14711/thesis-b1584877,5,147
Solving Assembly Line Workload Smoothing Problem via Answer Set Programming.,iclp,2020,Omar El-Khatib,10.1109/csci.2016.0098,2,189
Extending Answer Set Programs with Neural Networks.,iclp,2020,Zhun Yang,10.4204/eptcs.325.41,5,113
"A Singly Exponential Transformation of LTL[X, F] into Pure Past LTL.",kr,2023,"Alessandro Artale, Luca Geatti, Nicola Gigante, Andrea Mazzullo, Angelo Montanari",10.24963/kr.2023/7,1,515
An Epistemic Theory of Deductive Arguments.,kr,2025,Emiliano Lorini,10.24963/kr.2025/44,5,125
Statistical Syllogistic Tableaux.,iclp,2024,"Domenico Cantone, Eugenio Omodeo, Alberto Policriti",10.1007/978-1-4757-3452-2_14,2,58
Empowering Public Interest Communication with Argumentation - Project Report (short paper).,iclp,2025,Alejandra Casas Niño de Rivera,10.59350/yvcg5-eb965,1,442
Hybrid Answer Set Programming: Foundations and Applications.,iclp,2024,Nicolas Rühling,10.4204/eptcs.416.38,5,215
Natlog: Embedding Logic Programming into the Python Deep-Learning Ecosystem.,iclp,2023,Paul Tarau,10.4204/eptcs.385.15,5,267
probKanren: A Simple Probabilistic Extension for microKanren.,iclp,2021,Rohit Dhormare,10.20944/preprints202506.0043.v1,3,204
A Brief Discussion about the Credal Semantics for Probabilistic Answer Set Programs.,iclp,2023,Damiano Azzolini,10.4204/eptcs.385.30,5,146
Inductive Learning of Declarative Domain-Specific Heuristics for ASP.,iclp,2023,Richard Comploi-Taupe,10.4204/eptcs.385.14,4,209
Qiana: A First-Order Formalism to Quantify over Contexts and Formulas.,kr,2024,"Simon Coumes, Pierre-Henri Paris, François Schwarzentruber, Fabian Suchanek",10.1613/jair.1.18402,2,148
On Verifying and Generating Robust Plans for Planning Tasks with Exogenous Events.,kr,2024,"Lukas Chrpa, Erez Karpas",10.24963/kr.2024/26,2,472
Probabilistic Declarative Process Mining.,iclp,2025,"Anti Alman, Fabrizio Maria Maggi, Marco Montali, Rafael Peñaloza",10.1016/j.is.2022.102033,4,563
Revisiting Inferential Benchmarks for Knowledge Graph Completion.,kr,2023,"Shuwen Liu, Bernardo Cuenca Grau, Ian Horrocks, Egor V. Kostylev",10.24963/kr.2023/45,4,484
Platform for Introducing Logic Programming in Bulgarian Secondary Schools - IDEAS (Intelligent Data Educational Analysis System).,iclp,2025,"Veneta Tabakova-Komsalova, Ivan Stoyanov, George Cholakov, Magdalena Maglizhanova",10.18421/tem134-56,1,355
Automated Planning with Ontologies Under Coherence Update Semantics.,kr,2025,"Stefan Borgwardt, Duy Nhu, Gabriele Röger",10.24963/kr.2025/72,5,277
Blending Grounding and Compilation for Efficient ASP Solving.,kr,2024,"Carmine Dodaro, Giuseppe Mazzotta, Francesco Ricca",10.24963/kr.2024/30,4,137
Quantitative and Stream Extensions of Answer Set Programming.,iclp,2021,Rafael Kiesel,10.4204/eptcs.345.43,4,270
Preference-Based Abstract Argumentation for Case-Based Reasoning.,kr,2024,"Adam Gould, Guilherme Paulino-Passos, Seema Dadhania, Matthew Williams, Francesca Toni",10.24963/kr.2024/37,3,164
exp(ASPc) : Explaining ASP Programs with Choice Atoms and Constraint Rules.,iclp,2021,"Ly Ly Trieu, Tran Cao Son, Marcello Balduccini",10.4204/eptcs.345.28,5,323
Symmetries and Expressive Requirements for Learning General Policies.,kr,2024,"Dominik Drexler, Simon Ståhlberg, Blai Bonet, Hector Geffner",10.24963/kr.2024/79,2,589
Routing and Scheduling in different ways: Abridged Preliminary Report.,iclp,2023,,10.1021/acs.iecr.8b00799.s001,1,422
Advancing Interactive Explainable AI via Belief Change Theory.,kr,2024,"Antonio Rago, Maria Vanina Martinez",10.24963/kr.2024/87,5,229
Inconsistency Handling in Prioritized Databases with Universal Constraints: Complexity Analysis and Links with Active Integrity Constraints.,kr,2023,"Meghyn Bienvenu, Camille Bourgaux",10.24963/kr.2023/10,2,14
Tabling Optimization for Contextual Abduction.,iclp,2020,"Ridhwan Dewoprabowo, Ari Saptawijaya",10.4204/eptcs.325.20,3,349
Formally Explaining Decision Tree Models with Answer Set Programming.,iclp,2025,"Akihiro Takemura, Masayuki Otani, Katsumi Inoue",10.4204/eptcs.439.29,5,564
On Feasibility of Declarative Diagnosis.,iclp,2023,Włodzimierz Drabent,10.4204/eptcs.385.20,2,70
Learning ASP Domain-specific Heuristics using Transformers.,iclp,2025,Marcello Balduccini,10.3233/aic-2011-0493,5,303
// Efficient Declarative Solutions in Picat for Optimal Multi-Agent Pathfinding.,iclp,2017,"Roman Bartak, Neng-Fa Zhou, Roni Stern, Eli Boyarski, Pavel Surynek",10.1109/ictai.2017.00147,1,382
Tree-Like Justification Systems are Consistent.,iclp,2022,"Simon Marynissen, Bart Bogaerts",10.4204/eptcs.364.1,1,539
Depth-Bounded Epistemic Planning.,kr,2025,"Thomas Bolander, Alessandro Burigana, Marco Montali",10.24963/kr.2025/70,1,288
Link Prediction in Knowledge Graphs with Probabilistic Logic Programming: Work in Progress.,iclp,2023,"LUIGI BELLOMARINI, ELEONORA LAURENZA, EMANUEL SALLINGER, EVGENY SHERKHONOV",10.1017/s1471068422000412,4,482
Nemo: First Glimpse of a New Rule Engine.,iclp,2023,"Alex Ivliev, Stefan Ellmauthaler, Lukas Gerlach, Maximilian Marx, Matthias Meißner, Simon Meusel, Markus Krötzsch",10.4204/eptcs.385.35,2,179
"Proceedings 39th International Conference on Logic Programming, ICLP 2023, Imperial College London, UK, 9th July 2023 - 15th July 2023.",iclp,2023,", Zhaoyang Jacopo Hu, Longrui Chen, , Yanpei Huang, , Etienne Burdet, , Ferdinando Rodriguez Y Baena, ",10.31256/hsmr2023.57,1,133
A Low-Level Index for Distributed Logic Programming.,iclp,2020,Thomas Prokosch,10.4204/eptcs.325.40,2,191
Learning and Contesting Assumption-based Argumentation Frameworks (Invited Talk).,iclp,2025,"Ofer Arieli, Jesse Heyninck",10.2139/ssrn.4850544,2,304
Imperative Program Synthesis from Answer Set Programs.,iclp,2019,Sarat Chandra Varanasi,10.4204/eptcs.306.55,4,78
Generating Local Search Neighborhood with Synthesized Logic Programs.,iclp,2019,"Mateusz Ślażyński, Salvador Abreu, Grzegorz J. Nalepa",10.4204/eptcs.306.22,5,122
A Reduct-based Approach to Skeptical Preferred Reasoning in Abstract Argumentation.,kr,2025,"Lars Bengel, Julian Sander, Matthias Thimm",10.24963/kr.2025/13,3,36
"On Conflict-free Labellings - Realizability, Construction and Patterns of Redundancy.",kr,2023,"Ringo Baumann, Anne-Marie Heine",10.24963/kr.2023/70,5,208
LP-LM: No Hallucinations in Question Answering with Logic Programming.,iclp,2024,"Katherine Wu, Yanhong A. Liu",10.4204/eptcs.416.5,3,333
Order-Sorted Intensional Logic: Expressing Subtyping Polymorphism with Typing Assertions and Quantification over Concepts.,iclp,2024,"Đorđe Marković, Marc Denecker",10.4204/eptcs.416.22,1,154
Optimisation and Approximation in Abstract Argumentation: The Case of Admissibility.,kr,2024,"Kenneth Skiba, Matthias Thimm",10.24963/kr.2024/63,3,310
A Logic-based Multi-agent System for Ethical Monitoring and Evaluation of Dialogues.,iclp,2021,"Abeer Dyoub, Stefania Costantini, Ivan Letteri, Francesca A. Lisi",10.4204/eptcs.345.32,2,594
"Strategy Logic, Imperfect Information, and Hyperproperties.",kr,2025,"Raven Beutner, Bernd Finkbeiner",10.24963/kr.2025/15,3,61
Halting Recurrent GNNs and the Graded mu-Calculus.,kr,2025,"Jeroen Bollen, Jan Van den Bussche, Stijn Vansummeren, Jonni Virtema",10.24963/kr.2025/18,2,463
Constrained Default Logic Programming.,iclp,2022,David Poole,10.1093/oso/9780198537472.003.0004,4,494
On the Potential of CLIP for Compositional Logical Reasoning.,iclp,2023,Justin Brody,10.4204/eptcs.385.10,2,302
Integration of Logical English and s(CASP).,iclp,2022,,10.3403/01582237,4,170
Iterative ASP Pipelines: Enhancements for Robots Playing Mobile Games.,iclp,2025,,10.1201/b14610-10,4,5
On the Translation of ASP Rules to (Controlled) Natural Language Sentences.,iclp,2025,"SIMONE CARUSO, CARMINE DODARO, MARCO MARATEA, MARCO MOCHI, FRANCESCO RICCIO",10.1017/s1471068423000388,4,375
A Methodology for Incompleteness-Tolerant and Modular Gradual Semantics for Argumentative Statement Graphs.,kr,2025,"Antonio Rago, Stylianos Loukas Vasileiou, Son Tran, Francesca Toni, William Yeoh",10.24963/kr.2025/49,2,499
Gradient-Based Supported Model Computation in Vector Spaces.,iclp,2021,"Taisuke Sato, Chiaki Sakama, Katsumi Inoue",10.5220/0009093407580765,4,6
Abstraction in Assumption-based Argumentation.,kr,2024,"Iosif Apostolakis, Zeynep G. Saribatur, Johannes P. Wallner",10.24963/kr.2024/5,5,194
Model Checking Linear Temporal Logic with Standpoint Modalities.,kr,2025,"Rajab Aghamov, Christel Baier, Toghrul Karimov, Rupak Majumdar, Joël Ouaknine, Jakob Piribauer, Timm Spork",10.24963/kr.2025/1,2,477
Communication with Individuals with Disabilities and the Role of LLMs: Progress Report.,kr,2024,Amogh Khaparde,10.58445/rars.1653,1,546
A Coq Formalization of Unification Modulo Exclusive-Or.,iclp,2024,"Yichi Xu, Daniel J. Dougherty, Rose Bohrer",10.4204/eptcs.416.23,1,120
Axiomatic Characterisations of Argumentation Semantics.,kr,2025,Leila Amgoud,10.24963/kr.2025/4,2,73
From Infinite to Finite Traces and Back: Linear Temporal Logic in Sequential Decision Making.,kr,2024,"Luca Geatti, Alessandro Gianola, Nicola Gigante",10.24963/ijcai.2022/366,1,275
Temporal Conditional Reasoning with Weighted Knowledge Bases.,iclp,2025,Christian Eichhorn,10.1007/978-3-476-04824-0_6,3,169
Reliable Natural Language Understanding with Large Language Models and Answer Set Programming.,iclp,2023,"Abhiramon Rajasekharan, Yankai Zeng, Parth Padalkar, Gopal Gupta",10.4204/eptcs.385.27,5,378
Neuro-Symbolic Contrastive Learning for Cross-domain Inference.,iclp,2024,"Mingyue Liu, Ryo Ueda, Zhen Wan, Katsumi Inoue, Chris G. Willcocks",10.4204/eptcs.416.6,4,107
Counterfactual Scenarios for Automated Planning.,kr,2025,"Nicola Gigante, Francesco Leofante, Andrea Micheli",10.24963/kr.2025/76,2,284
Presburger Functional Synthesis: Complexity and Tractable Normal Forms.,kr,2025,"S. Akshay, A. R. Balasubramanian, Supratik Chakraborty, Georg Zetzsche",10.24963/kr.2025/2,2,325
Justifications and Blocking Sets in a Rule-Based Answer Set Computation.,iclp,2016,,10.1017/cbo9781139342124.008,2,397
Proper Linear-time Specifications of Environment Behaviors in Nondeterministic Planning and Reactive Synthesis.,kr,2024,"Benjamin Aminof, Giuseppe De Giacomo, Sasha Rubin, Florian Zuleger",10.24963/kr.2024/4,2,531
A Fixpoint Characterization of Three-Valued Disjunctive Hybrid MKNF Knowledge Bases.,iclp,2022,"Spencer Killen, Jia-Huai You",10.4204/eptcs.364.6,1,341
Efficient Volume Computation for SMT Formulas.,kr,2025,"Arijit Shaw, Uddalok Sarkar, Kuldeep S. Meel",10.24963/kr.2025/53,2,116
Extended Abstract: A Reliable Common-Sense Reasoning Socialbot Built Using LLMs and Goal-Directed ASP.,iclp,2024,"YANKAI ZENG, ABHIRAMON RAJASEKHARAN, KINJAL BASU, HUADUO WANG, JOAQUÍN ARIAS, GOPAL GUPTA",10.1017/s147106842400022x,3,83
Extending Abstract Argumentation Frameworks with Knowledge Bases.,kr,2025,"Gianvincenzo Alfano, Sergio Greco, Cristian Molinaro, Francesco Parisi, Irina Trubitsyna",10.24963/kr.2025/3,4,373
On LLM-generated Logic Programs and their Inference Execution Methods.,iclp,2024,Paul Tarau,10.4204/eptcs.416.1,5,380
Modular Stochastic Rewritable Petri Nets.,iclp,2024,,10.1002/9781394388660.ch3,5,364
Regular Typed Unification.,iclp,2024,"João Barbosa, Mário Florido, Vítor Santos Costa",10.4204/eptcs.416.21,1,575
Approximating Weakly Preferred Semantics in Abstract Argumentation through Vacuous Reduct Semantics.,kr,2023,"Lydia Blümel, Matthias Thimm",10.24963/kr.2023/11,1,71
